id,title,price,image_url,product_url,artist
168084440,A Vintage Travel Poster of Marseille - France  Drawstring Bag,$38.75,"https://ih1.redbubble.net/image.5753461122.4440/drawstring_bag,x600-pad,600x600,f8f8f8.jpg",https://www.redbubble.com/i/drawstring-bag/A-Vintage-Travel-Poster-of-Marseille-France-by-GoodOldVintage/168084440.YT4RK,By GoodOldVintage
38353039,Metallic Octopus II Drawstring Bag,$39.07,"https://ih1.redbubble.net/image.1174144329.3039/drawstring_bag,x600-pad,600x600,f8f8f8.u6.jpg",https://www.redbubble.com/i/drawstring-bag/Metallic-Octopus-II-by-spacefrogdesign/38353039.YT4RK,By spacefrogdesign
21117238,Carol Aird All Over Print Tote Bag,From $28.68,"https://ih1.redbubble.net/image.197803186.7238/tb,840x840,medium-c,1,198,600,600-bg,f8f8f8.u1.jpg",https://www.redbubble.com/i/tote-bag/Carol-Aird-by-rellygc/21117238.A9G4R,By rellygc
165622878,Carol Hathaway Drawstring Bag,$39.72,"https://ih1.redbubble.net/image.5677869612.2878/drawstring_bag,x600-pad,600x600,f8f8f8.jpg",https://www.redbubble.com/i/drawstring-bag/Carol-Hathaway-by-aluap106/165622878.YT4RK,By aluap106
45372328,D20 dice All Over Print Tote Bag,From $22.94,"https://ih1.redbubble.net/image.1086887901.2328/tb,840x840,medium-c,1,198,600,600-bg,f8f8f8.u1.jpg",https://www.redbubble.com/i/tote-bag/D20-dice-by-fefisbf/45372328.A9G4R,By fefisbf
165623238,What would mark greene do Drawstring Bag,$39.72,"https://ih1.redbubble.net/image.5677881191.3238/drawstring_bag,x600-pad,600x600,f8f8f8.jpg",https://www.redbubble.com/i/drawstring-bag/What-would-mark-greene-do-by-aluap106/165623238.YT4RK,By aluap106
92718730,Palestinian Arabic Kufiya Keffiyeh or also called Hatta Traditional Pattern with Tatreez Embroidery Art Design Red Black on White Drawstring Bag,$42.33,"https://ih1.redbubble.net/image.2899742874.8730/drawstring_bag,x600-pad,600x600,f8f8f8.u4.jpg",https://www.redbubble.com/i/drawstring-bag/Palestinian-Arabic-Kufiya-Keffiyeh-or-also-called-Hatta-Traditional-Pattern-with-Tatreez-Embroidery-Art-Design-Red-Black-on-White-by-QualiTshirt/92718730.YT4RK,By Hurriyyatee
31905058,100 most common Chinese characters All Over Print Tote Bag,From $26.77,"https://ih1.redbubble.net/image.570047304.5058/tb,840x840,medium-c,1,198,600,600-bg,f8f8f8.u6.jpg",https://www.redbubble.com/i/tote-bag/100-most-common-Chinese-characters-by-suranyami/31905058.A9G4R,By suranyami
26420233,Cursebreaker (Black) All Over Print Tote Bag,From $22.94,"https://ih1.redbubble.net/image.370653901.0233/tb,840x840,medium-c,1,198,600,600-bg,f8f8f8.u2.jpg",https://www.redbubble.com/i/tote-bag/Cursebreaker-Black-by-nerdytalks/26420233.A9G4R,By nerdytalks
29560430,Nutella Forever | Scatter | Pink All Over Print Tote Bag,From $35.37,"https://ih1.redbubble.net/image.485546104.0430/tb,840x840,medium-c,1,198,600,600-bg,f8f8f8.u3.jpg",https://www.redbubble.com/i/tote-bag/Nutella-Forever-Scatter-Pink-by-makemerriness/29560430.A9G4R,By makemerriness
